,result,table,_start,_stop,_time,_measurement,label,mobile,subject,alpha,beta,gamma,x,y,z
0,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:45.939000+00:00,devicemotion,sitting,Pixel,10a76,-16.3,-8.5,5.7,0.1,6.2,8.200000000000001
1,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:45.955000+00:00,devicemotion,sitting,Pixel,10a76,-11.1,-7.500000000000001,1.9,-0.1,6.0,8.4
2,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:45.972000+00:00,devicemotion,sitting,Pixel,10a76,-5.300000000000001,-6.1000000000000005,0.5,0.0,6.1000000000000005,8.3
3,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:45.988000+00:00,devicemotion,sitting,Pixel,10a76,-3.3000000000000007,-2.0,-1.7,0.0,6.1000000000000005,8.200000000000001
4,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.005000+00:00,devicemotion,sitting,Pixel,10a76,-3.1,2.3,-4.300000000000001,-0.2,5.9,8.0
5,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.022000+00:00,devicemotion,sitting,Pixel,10a76,-2.1,2.5,-4.5,-0.4,5.800000000000001,7.800000000000001
6,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.038000+00:00,devicemotion,sitting,Pixel,10a76,-0.30000000000000004,-2.1,-2.4000000000000004,-0.4,5.9,7.800000000000001
7,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.055000+00:00,devicemotion,sitting,Pixel,10a76,-1.1,-3.2,-1.9,-0.30000000000000004,5.9,8.0
8,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.072000+00:00,devicemotion,sitting,Pixel,10a76,-2.7,0.0,-2.3,-0.30000000000000004,5.9,8.0
9,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.088000+00:00,devicemotion,sitting,Pixel,10a76,-2.6,0.6000000000000001,-2.0,-0.4,5.800000000000001,8.200000000000001
10,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.105000+00:00,devicemotion,sitting,Pixel,10a76,0.2,0.6000000000000001,-1.5,-0.30000000000000004,5.800000000000001,8.200000000000001
11,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.122000+00:00,devicemotion,sitting,Pixel,10a76,3.1,1.2000000000000002,-0.9000000000000001,-0.30000000000000004,5.9,8.0
12,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.138000+00:00,devicemotion,sitting,Pixel,10a76,3.9,1.5,-0.2,-0.4,5.800000000000001,7.800000000000001
13,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.156000+00:00,devicemotion,sitting,Pixel,10a76,3.6000000000000005,0.8,0.9000000000000001,-0.4,5.9,7.5
14,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.173000+00:00,devicemotion,sitting,Pixel,10a76,1.3,-1.7,2.0,-0.30000000000000004,6.0,7.7
15,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.189000+00:00,devicemotion,sitting,Pixel,10a76,-0.1,-1.4,1.3,-0.2,5.9,7.800000000000001
16,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.206000+00:00,devicemotion,sitting,Pixel,10a76,0.2,-0.5,0.6000000000000001,-0.30000000000000004,5.9,7.6000000000000005
17,_result,0,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:23:46.223000+00:00,devicemotion,sitting,Pixel,10a76,-1.3,-2.0,0.9000000000000001,-0.2,6.0,7.9
